Student_ID,Name,Age_teen,Gender_teen,Country_teen,School_Grade,Avg_Daily_Usage_Hours_teen,Sleep_Hours_Per_Night_teen,Affects_Academic_Performance_teen,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addicted_Score_teen,Age_social,Gender_social,Academic_Level,Country_social,Avg_Daily_Usage_Hours_social,Most_Used_Platform,Affects_Academic_Performance_social,Sleep_Hours_Per_Night_social,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score_social
105,Ashley Foster,18,Female,South Shelleyfort,8th,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,0.0,0.0,Education,7,6.7,6.6,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,Medium
106,Katherine Hensley,19,Other,East Angelaland,10th,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,Gaming,4,7.4,8.0,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,High
107,Christopher Watts,13,Male,South Josephstad,7th,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,0.0,1.5,Gaming,7,6.6,7.1,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,Medium
108,Benjamin Bradley,15,Other,Rhondafurt,7th,7.3,5.0,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Gaming,4,8.0,10.0,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,High
109,Rebecca Edwards,18,Female,Jaredmouth,11th,4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.6,1.7,1.6,Education,4,8.6,6.9,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,Medium
110,Sarah Harrison,15,Other,North Cherylburgh,9th,2.0,5.9,74,5,0.9,2,9,6,0,1.1,47,12,2.0,1.3,1.4,Other,1,4.4,5.7,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,High
111,Kimberly Hooper,14,Male,Bentleytown,9th,1.6,6.1,70,7,0.0,9,5,1,0,1.6,42,5,4.8,0.8,1.5,Social Media,3,1.8,6.0,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,High
112,Melissa Becker DDS,18,Other,East Pamelaside,9th,2.0,7.5,76,0,1.1,1,7,2,1,0.9,115,7,1.4,1.9,1.3,Gaming,10,5.6,5.2,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,High
113,John Griffin,16,Male,Loveberg,10th,3.0,4.7,51,10,3.0,1,8,1,1,0.3,42,18,1.7,3.3,0.0,Education,3,6.7,10.0,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,Medium
114,James Alvarez,15,Female,Port Veronicamouth,9th,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10.0,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,High
115,Brad Sanchez,16,Other,Port Samanthaberg,8th,5.5,5.4,63,8,0.0,5,10,3,1,2.0,72,14,1.4,0.0,0.8,Other,1,8.3,8.4,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,High
116,Cory Santiago,15,Female,Robertshire,11th,6.6,9.5,53,5,1.0,8,4,1,0,0.8,121,13,4.5,1.7,2.8,Gaming,6,6.4,10.0,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,Medium
117,Shelley Curtis,19,Other,South Brittanychester,12th,8.3,5.7,58,9,1.6,3,1,3,0,0.1,21,9,1.7,0.8,1.2,Other,10,6.5,10.0,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,High
118,Cheryl Thomas,18,Other,East Chadhaven,8th,3.6,3.1,56,0,2.4,5,9,4,1,0.9,80,16,3.2,0.3,1.5,Social Media,7,7.3,10.0,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,High
119,Meagan Banks,17,Male,Glennshire,9th,5.4,3.1,88,0,0.0,7,10,10,0,0.7,29,11,2.9,0.3,0.5,Social Media,3,1.7,9.8,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,Medium
120,Dr. Elizabeth Porter,19,Other,Mirandaborough,9th,2.1,7.3,71,7,0.5,4,1,4,1,1.7,54,9,2.5,1.5,1.6,Education,5,2.1,5.3,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,High
121,Monica Shelton,16,Male,Brownchester,7th,7.8,7.4,81,0,1.9,5,6,10,0,1.1,135,14,3.6,1.1,1.3,Browsing,6,4.5,10.0,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,High
122,Heather Wilson,14,Male,Chelseafurt,9th,4.3,3.9,64,2,2.9,10,10,6,1,0.6,119,9,1.1,1.4,1.8,Other,4,6.7,9.0,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,Medium
123,Angie White,18,Other,West Maryport,12th,7.4,7.4,80,0,1.1,1,2,3,0,1.9,57,20,1.9,0.9,1.6,Gaming,10,4.6,10.0,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,High
124,Grace Mullen,18,Female,West Donna,7th,6.4,7.9,72,4,2.0,5,6,4,1,0.7,23,13,0.7,2.4,0.7,Other,3,7.4,8.6,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,High
125,Megan Colon,13,Other,West Jeremy,9th,2.0,8.4,78,10,1.6,5,1,10,0,0.4,140,17,2.0,0.8,2.4,Gaming,1,5.1,6.8,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,Medium
126,Christine Cunningham,15,Male,Lake Laurastad,8th,2.6,6.8,65,0,1.3,6,5,2,1,1.0,26,6,1.8,2.8,1.1,Other,6,9.5,5.5,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,High
127,Sonya Armstrong,13,Other,North Brian,7th,4.4,5.0,68,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,Browsing,2,5.1,10.0,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,High
128,Heather Johnson,16,Other,Masonbury,8th,4.8,6.5,57,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0.0,Education,3,7.9,10.0,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,Medium
129,Jennifer Chen,15,Other,Port Anthony,10th,7.7,5.9,75,2,2.2,2,8,10,0,1.0,74,16,2.4,2.9,0.9,Browsing,2,4.2,10.0,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,High
130,Charles Williams,17,Other,Lisaport,12th,4.2,5.6,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,Gaming,5,7.1,10.0,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,High
131,Denise Peters,17,Other,Jonathonfort,12th,4.6,5.7,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,Browsing,3,7.4,10.0,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,Medium
132,Pamela Torres,19,Male,Swansonhaven,9th,2.9,6.5,94,5,0.0,8,7,5,0,1.3,126,15,3.3,1.1,0.0,Gaming,4,3.4,9.6,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,High
133,Sandra Hanson,14,Female,East Calebburgh,10th,6.8,5.5,55,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,Browsing,8,4.9,10.0,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,High
134,Donna Shaffer,18,Male,Hugheschester,9th,4.7,5.9,61,10,0.1,10,4,2,0,2.0,95,12,3.3,2.4,0.6,Social Media,3,5.1,10.0,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,Medium
135,Erin Garcia,19,Female,Nicholsburgh,10th,4.1,7.6,85,6,0.1,3,3,3,0,0.8,25,20,3.0,0.2,1.5,Other,3,7.7,8.0,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,High
136,Amy Smith,14,Female,Port Jordanmouth,8th,0.0,6.0,75,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,Education,1,3.6,5.2,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,High
137,Megan Knight,15,Female,Kimberlychester,7th,4.3,9.3,61,2,0.0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,Other,5,6.4,6.5,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,Medium
138,Valerie Henderson,13,Male,Melissashire,9th,3.3,8.0,60,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,Education,9,4.9,9.2,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,High
139,Austin Nelson,14,Female,Wagnermouth,7th,8.0,5.8,79,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,Browsing,4,4.5,10.0,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,High
140,Michael Evans,17,Other,Marioville,9th,5.0,5.1,90,3,1.0,6,8,9,1,0.7,68,18,2.6,2.4,1.3,Browsing,9,8.3,10.0,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,Medium
141,Diane Day,18,Other,Lake Rachel,11th,2.5,4.8,51,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,Gaming,5,4.5,5.0,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,High
142,Brian Mcdonald,14,Female,Meghanfurt,12th,4.8,4.0,81,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,Browsing,6,4.7,10.0,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,High
143,Eric Hunter,18,Other,New Julie,11th,5.0,5.5,71,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,Browsing,7,9.0,9.0,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,Medium
144,Victoria Huff,16,Female,Donnaside,11th,7.1,3.0,56,6,0.0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,Other,5,4.1,10.0,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,High
145,Ana Le,18,Female,Cameronbury,7th,7.9,6.5,55,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,Gaming,9,2.4,10.0,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,High
146,Daniel Robinson,14,Male,Parksfurt,12th,7.4,6.4,81,9,0.4,4,10,4,1,1.4,116,6,1.2,0.0,1.0,Social Media,5,3.9,8.9,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,Medium
147,Justin Collins,15,Female,New Kellystad,11th,2.5,5.4,66,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,Social Media,9,5.0,7.4,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,High
148,Paula Jones,19,Male,Blackburnhaven,9th,6.4,7.8,62,3,0.0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,Other,5,9.4,10.0,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,High
149,Kathryn Matthews,16,Other,Lake Luis,10th,7.0,7.9,89,1,0.7,3,10,8,0,1.0,56,11,2.4,0.8,0.0,Other,9,3.2,9.6,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,Medium
150,Michelle Jones,13,Female,Matthewland,9th,5.1,4.3,63,9,1.3,4,8,6,0,0.0,49,6,3.0,0.8,2.2,Browsing,1,7.9,8.9,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,High
151,Erica Brown,14,Male,Nancyfort,9th,6.9,7.1,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,Gaming,10,6.9,7.9,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,High
152,Michelle Perez,13,Female,West Alanfort,10th,4.0,6.2,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,Social Media,5,6.9,10.0,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,Medium
153,Steven Davis,16,Male,Sanchezport,8th,6.6,9.4,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,Gaming,5,3.5,10.0,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,High
154,Lynn Smith,18,Male,North Saraburgh,10th,5.7,6.2,77,3,1.6,4,1,8,0,2.0,115,12,2.3,1.0,1.9,Education,3,6.2,10.0,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,High
155,Maria Fuller DDS,13,Other,South Jamesborough,8th,2.9,5.8,67,9,0.0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,Education,8,7.0,8.6,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,Medium
156,Sheila Bennett,17,Female,Boothside,9th,4.8,4.1,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,Gaming,4,8.0,10.0,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,High
157,Elizabeth Harding,16,Female,Wilsonside,8th,7.3,6.3,77,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,Browsing,4,8.6,10.0,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,High
158,Bradley Jones,13,Female,West Kathleen,8th,4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,Other,1,6.3,10.0,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,Medium
159,Juan Carpenter,19,Male,Flowersshire,12th,6.7,5.9,79,7,0.0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,Browsing,5,3.1,10.0,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,High
160,Michael Garcia,19,Other,Prestonfort,12th,2.2,8.2,60,5,2.0,10,7,3,1,0.5,70,10,3.4,1.1,2.3,Gaming,2,9.7,6.0,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,High
161,Michael Parker,13,Male,New Christianfort,8th,3.3,7.6,55,0,0.0,4,2,6,0,1.2,47,15,2.8,0.0,0.6,Browsing,1,7.2,6.2,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,High
162,Alan Torres,14,Other,Port Melvinshire,9th,6.8,4.8,76,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,Other,5,7.9,10.0,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,Medium
163,Mary Roman,18,Other,Richardbury,11th,5.2,6.6,93,4,0.0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,Education,10,7.5,10.0,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,High
164,Joshua Moore,19,Male,Jamieville,11th,6.0,3.1,78,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,Browsing,3,10.0,10.0,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,High
165,Douglas Mason,15,Other,New Darlene,12th,5.9,5.0,74,1,1.0,9,8,3,1,0.8,94,6,4.6,2.7,1.2,Gaming,2,4.0,10.0,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,Medium
166,Donna Morgan,19,Female,Kellyton,10th,3.7,4.6,72,0,0.6,4,10,7,1,1.2,146,18,2.0,2.2,1.8,Gaming,10,4.6,10.0,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,High
167,Russell Klein,17,Male,Port Waynehaven,10th,8.4,7.7,57,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,Education,10,4.6,10.0,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,High
168,Alexander Bailey,15,Other,Jasminville,10th,0.8,7.4,70,7,1.7,9,1,1,1,0.8,67,10,2.9,0.9,1.2,Browsing,6,8.9,4.2,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,Medium
169,Jordan Shelton,18,Other,Michelleside,7th,7.2,3.0,84,4,1.8,3,8,5,1,0.9,83,8,2.9,2.6,1.6,Education,4,6.4,10.0,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,High
170,Robert Decker,13,Male,Adammouth,11th,4.6,5.3,91,4,0.9,10,3,6,1,0.8,129,6,1.6,2.2,0.8,Social Media,6,3.4,9.5,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,High
171,Travis Ponce,19,Male,Port Natalie,11th,2.4,6.8,63,8,0.0,9,8,7,0,0.8,50,16,2.0,1.3,0.9,Other,1,8.0,6.5,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,Medium
172,Jennifer Young,16,Female,East Christopher,8th,4.3,6.6,94,9,1.0,2,10,4,0,0.8,47,17,1.6,1.4,0.0,Social Media,5,0.7,8.3,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,High
173,David Logan,14,Other,Duanebury,8th,6.8,6.1,92,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,Other,5,2.9,9.7,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,High
174,Jonathan Roberts Jr.,13,Other,Lake Willieshire,11th,6.3,5.4,100,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,Browsing,5,5.5,9.6,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,Medium
175,William Wolfe,13,Female,Joneschester,10th,5.3,9.7,52,5,1.0,3,3,8,1,1.7,145,9,2.3,1.3,0.0,Education,6,7.3,8.8,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,High
176,Sharon Smith,17,Other,North Anne,9th,4.4,5.7,99,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,Other,2,4.3,8.0,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,High
177,Brittany Kirk,16,Other,New Alicia,10th,8.1,6.7,50,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,Other,7,7.2,9.5,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,Medium
178,Michael Harris,13,Other,Lake Lori,9th,3.6,6.0,65,9,0.4,5,2,6,1,1.6,83,11,1.1,2.2,0.8,Education,4,4.5,7.8,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,High
179,Michael Rodriguez,17,Other,Johnsmouth,7th,5.0,5.5,66,5,0.8,2,10,10,1,1.4,129,17,2.7,1.6,1.2,Social Media,1,7.1,10.0,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,High
180,Anthony Andrews,17,Other,Banksshire,8th,4.1,7.2,57,10,0.9,3,10,1,0,1.4,145,10,1.5,1.7,0.7,Gaming,7,6.7,8.6,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,Medium
181,Dorothy Patel,19,Other,East Jakehaven,10th,4.3,9.2,53,8,0.5,10,3,10,1,1.6,47,14,2.7,1.2,0.0,Social Media,2,5.6,7.3,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,High
182,Diana Hess,18,Male,Mccannshire,10th,4.2,7.6,58,1,1.2,4,2,7,1,1.1,59,15,2.7,1.1,0.8,Education,9,4.3,8.4,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,High
183,Jeffrey Franklin,18,Male,Sharonside,8th,6.4,4.4,60,5,0.5,7,1,3,0,0.6,42,10,2.4,1.2,0.4,Browsing,5,5.9,10.0,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,Medium
184,Christopher Juarez,16,Female,Peterfort,9th,3.3,7.2,74,4,1.3,2,7,4,1,1.0,111,6,2.7,1.8,1.6,Other,6,4.3,7.6,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,High
185,Michael Crane,19,Female,Kerrchester,12th,5.7,8.0,96,1,0.9,3,4,2,1,1.5,65,20,3.3,2.7,1.9,Gaming,3,7.8,10.0,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,High
186,Michelle Scott,16,Other,Taylorbury,10th,5.7,6.2,97,4,1.4,7,2,4,0,0.8,134,14,2.3,1.5,0.0,Social Media,5,5.2,10.0,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,Medium
187,Brianna Clark,13,Other,Andrewview,9th,1.8,4.1,98,2,1.3,9,6,9,1,0.5,49,6,2.6,1.9,0.8,Other,5,7.8,6.4,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,High
188,Michael Morris,17,Female,North Michaelland,9th,0.2,5.4,60,5,1.5,6,3,2,1,2.4,102,17,1.7,1.2,0.1,Gaming,10,6.6,5.8,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,High
189,Alyssa Webb MD,16,Female,Jonesbury,8th,2.7,6.9,55,9,0.7,6,8,6,1,2.1,139,13,1.6,2.9,0.9,Education,8,7.6,9.1,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,Medium
190,Holly Williams,17,Male,Lake Sabrinaburgh,9th,4.3,6.7,93,6,0.4,7,9,6,0,0.8,33,13,2.5,0.0,1.8,Social Media,8,4.0,6.7,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,High
191,Audrey Hall,16,Other,Michaelside,7th,4.5,6.5,85,6,0.8,10,8,10,0,0.5,22,18,4.3,2.0,1.0,Education,8,5.7,10.0,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,High
192,Barbara Hancock,18,Male,Martinport,8th,4.6,5.6,91,6,1.6,3,7,9,0,0.7,128,14,2.9,0.9,1.6,Social Media,3,3.0,10.0,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,Medium
193,Luke Klein,16,Other,Parkerfurt,12th,7.5,5.9,84,6,1.5,7,9,6,0,1.6,76,13,2.1,2.1,0.8,Browsing,8,11.5,10.0,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,High
194,Christopher Newman,16,Other,Brandonbury,12th,5.3,6.1,98,2,1.7,9,4,2,1,1.1,51,7,3.2,0.0,0.9,Other,1,6.1,7.9,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,High
195,Eric Bryant,15,Other,Lake Crystalborough,12th,4.9,4.8,73,3,1.8,5,3,2,0,1.1,105,14,1.0,0.0,1.0,Education,8,4.2,8.4,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,Medium
196,Kendra Everett,15,Male,Jacksonborough,9th,5.4,6.9,57,10,0.6,9,3,9,0,1.2,45,5,0.2,1.2,1.2,Education,3,5.9,5.3,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,High
197,Jasmine Lin,14,Other,Ericamouth,9th,0.5,6.2,57,7,1.0,6,6,1,0,0.9,73,7,4.0,2.3,1.2,Education,8,5.7,6.6,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,High
198,David Castaneda,17,Other,North Isaiahbury,9th,7.6,6.0,100,3,1.4,4,4,6,1,1.0,105,9,3.9,0.3,1.3,Gaming,8,9.4,10.0,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,Medium
199,Teresa Nelson,19,Male,Hollyton,7th,7.6,3.0,69,10,0.4,5,7,8,0,0.5,66,7,2.1,3.1,2.0,Social Media,5,5.8,10.0,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,High
200,Ronald Davis,19,Female,Kimberlybury,10th,2.5,5.6,87,9,0.7,8,5,3,0,1.6,90,12,3.4,1.4,1.2,Browsing,2,6.9,8.7,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,High
201,Brandon Green,19,Female,Debrafurt,7th,5.5,6.4,93,10,0.3,8,10,7,1,1.5,57,9,3.0,0.8,0.3,Education,4,9.9,9.0,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,Medium
202,Megan Bowman,16,Female,Lake Brian,12th,2.7,4.6,51,6,0.6,4,7,8,0,1.3,100,12,3.8,1.0,2.6,Education,6,4.3,9.6,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,High
203,Melissa Castro,19,Male,West Samantha,10th,7.0,5.4,96,0,0.5,5,9,9,0,1.2,100,18,2.8,1.8,0.4,Other,9,3.4,10.0,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,High
204,Alex Valdez,16,Female,South Stephaniebury,9th,5.3,5.0,83,0,1.0,7,3,7,1,1.0,22,10,2.6,2.7,1.7,Education,9,1.7,10.0,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,Medium
205,Fernando Alexander,15,Female,West Melissabury,9th,4.7,5.3,94,1,1.5,9,6,4,0,0.5,104,12,2.5,1.9,0.9,Social Media,4,4.5,10.0,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,High
206,Alexandra Lin,19,Other,New Kristen,9th,5.4,4.9,68,10,1.2,1,2,6,1,0.6,127,12,3.4,1.1,2.4,Other,3,3.3,10.0,21,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3,High
207,Amber Payne,17,Other,West Melissa,10th,8.5,5.2,63,6,1.0,9,10,9,1,1.1,59,17,2.3,2.7,3.0,Social Media,9,9.0,10.0,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,Medium
208,Kimberly English,17,Other,East Deborahchester,8th,6.2,4.4,56,4,0.9,1,5,6,1,1.5,46,14,2.2,1.2,0.0,Browsing,5,2.9,10.0,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,High
209,Sharon Schwartz,16,Female,Sabrinaton,11th,2.7,5.1,82,9,0.4,3,5,6,0,0.5,67,17,3.5,0.9,1.0,Education,2,1.8,9.3,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,High
210,Jeffrey Mendoza,17,Male,Angelaside,11th,3.5,5.1,77,6,1.7,1,1,2,1,1.2,91,9,2.0,0.9,1.1,Other,2,7.7,7.5,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,Medium
